Country.Region,Date,Cases,NewCases,Population,PopDensity,Urban population,Recovered,Deaths,StillInfected,MortalityRate,MortalityRatePop,RecoveryRate,NewDeaths
Afghanistan,2020-01-22,0,0,38928346,60,25,0,0,0,NaN,0,NaN,0
Albania,2020-01-22,0,0,2877797,105,63,0,0,0,NaN,0,NaN,0
Algeria,2020-01-22,0,0,43851044,18,73,0,0,0,NaN,0,NaN,0
Andorra,2020-01-22,0,0,77265,164,88,0,0,0,NaN,0,NaN,0
Angola,2020-01-22,0,0,32866272,26,67,0,0,0,NaN,0,NaN,0
Antigua and Barbuda,2020-01-22,0,0,97929,223,26,0,0,0,NaN,0,NaN,0
Argentina,2020-01-22,0,0,45195774,17,93,0,0,0,NaN,0,NaN,0
Armenia,2020-01-22,0,0,2963243,104,63,0,0,0,NaN,0,NaN,0
Australia,2020-01-22,0,0,25499884,3,86,0,0,0,NaN,0,NaN,0
Austria,2020-01-22,0,0,9006398,109,57,0,0,0,NaN,0,NaN,0
Azerbaijan,2020-01-22,0,0,10139177,123,56,0,0,0,NaN,0,NaN,0
Bahamas,2020-01-22,0,0,393244,39,86,0,0,0,NaN,0,NaN,0
Bahrain,2020-01-22,0,0,1701575,2239,89,0,0,0,NaN,0,NaN,0
Bangladesh,2020-01-22,0,0,164689383,1265,39,0,0,0,NaN,0,NaN,0
Barbados,2020-01-22,0,0,287375,668,31,0,0,0,NaN,0,NaN,0
Belarus,2020-01-22,0,0,9449323,47,79,0,0,0,NaN,0,NaN,0
Belgium,2020-01-22,0,0,11589623,383,98,0,0,0,NaN,0,NaN,0
Belize,2020-01-22,0,0,397628,17,46,0,0,0,NaN,0,NaN,0
Benin,2020-01-22,0,0,12123200,108,48,0,0,0,NaN,0,NaN,0
Bhutan,2020-01-22,0,0,771608,20,46,0,0,0,NaN,0,NaN,0
Bolivia,2020-01-22,0,0,11673021,11,69,0,0,0,NaN,0,NaN,0
Bosnia and Herzegovina,2020-01-22,0,0,3280819,64,52,0,0,0,NaN,0,NaN,0
Botswana,2020-01-22,0,0,2351627,4,73,0,0,0,NaN,0,NaN,0
Brazil,2020-01-22,0,0,212559417,25,88,0,0,0,NaN,0,NaN,0
Brunei,2020-01-22,0,0,437479,83,80,0,0,0,NaN,0,NaN,0
Bulgaria,2020-01-22,0,0,6948445,64,76,0,0,0,NaN,0,NaN,0
Burkina Faso,2020-01-22,0,0,20903273,76,31,0,0,0,NaN,0,NaN,0
Burma,2020-01-22,0,0,NA,NA,NA,0,0,0,NaN,NA,NaN,0
Burundi,2020-01-22,0,0,11890784,463,14,0,0,0,NaN,0,NaN,0
Cabo Verde,2020-01-22,0,0,555987,138,68,0,0,0,NaN,0,NaN,0
Cambodia,2020-01-22,0,0,16718965,95,24,0,0,0,NaN,0,NaN,0
Cameroon,2020-01-22,0,0,26545863,56,56,0,0,0,NaN,0,NaN,0
Canada,2020-01-22,0,0,37742154,4,81,0,0,0,NaN,0,NaN,0
Central African Republic,2020-01-22,0,0,4829767,8,43,0,0,0,NaN,0,NaN,0
Chad,2020-01-22,0,0,16425864,13,23,0,0,0,NaN,0,NaN,0
Chile,2020-01-22,0,0,19116201,26,85,0,0,0,NaN,0,NaN,0
China,2020-01-22,548,0,1439323776,153,61,28,17,503,3.102189781021898,1.1811102049077802e-6,5.109489051094891,0
Colombia,2020-01-22,0,0,50882891,46,80,0,0,0,NaN,0,NaN,0
Comoros,2020-01-22,0,0,869601,467,29,0,0,0,NaN,0,NaN,0
Congo (Brazzaville),2020-01-22,0,0,NA,NA,NA,0,0,0,NaN,NA,NaN,0
Congo (Kinshasa),2020-01-22,0,0,NA,NA,NA,0,0,0,NaN,NA,NaN,0
Costa Rica,2020-01-22,0,0,5094118,100,80,0,0,0,NaN,0,NaN,0
Cote d'Ivoire,2020-01-22,0,0,NA,NA,NA,0,0,0,NaN,NA,NaN,0
Croatia,2020-01-22,0,0,4105267,73,58,0,0,0,NaN,0,NaN,0
Cuba,2020-01-22,0,0,11326616,106,78,0,0,0,NaN,0,NaN,0
Cyprus,2020-01-22,0,0,1207359,131,67,0,0,0,NaN,0,NaN,0
Czechia,2020-01-22,0,0,NA,NA,NA,0,0,0,NaN,NA,NaN,0
Denmark,2020-01-22,0,0,5792202,137,88,0,0,0,NaN,0,NaN,0
Diamond Princess,2020-01-22,0,0,NA,NA,NA,0,0,0,NaN,NA,NaN,0
Djibouti,2020-01-22,0,0,988,43,79,0,0,0,NaN,0,NaN,0
Dominica,2020-01-22,0,0,71986,96,74,0,0,0,NaN,0,NaN,0
Dominican Republic,2020-01-22,0,0,10847910,225,85,0,0,0,NaN,0,NaN,0
Ecuador,2020-01-22,0,0,17643054,71,63,0,0,0,NaN,0,NaN,0
Egypt,2020-01-22,0,0,102334404,103,43,0,0,0,NaN,0,NaN,0
El Salvador,2020-01-22,0,0,6486205,313,73,0,0,0,NaN,0,NaN,0
Equatorial Guinea,2020-01-22,0,0,1402985,50,73,0,0,0,NaN,0,NaN,0
Eritrea,2020-01-22,0,0,3546421,35,63,0,0,0,NaN,0,NaN,0
Estonia,2020-01-22,0,0,1326535,31,68,0,0,0,NaN,0,NaN,0
Eswatini,2020-01-22,0,0,1160164,67,30,0,0,0,NaN,0,NaN,0
Ethiopia,2020-01-22,0,0,114963588,115,21,0,0,0,NaN,0,NaN,0
Faroe Islands,2020-01-22,0,0,48863,35,43,0,0,0,NaN,0,NaN,0
Fiji,2020-01-22,0,0,896445,49,59,0,0,0,NaN,0,NaN,0
Finland,2020-01-22,0,0,5540720,18,86,0,0,0,NaN,0,NaN,0
France,2020-01-22,0,0,65273511,119,82,0,0,0,NaN,0,NaN,0
Gabon,2020-01-22,0,0,2225734,9,87,0,0,0,NaN,0,NaN,0
Gambia,2020-01-22,0,0,2416668,239,59,0,0,0,NaN,0,NaN,0
Georgia,2020-01-22,0,0,3989167,57,58,0,0,0,NaN,0,NaN,0
Germany,2020-01-22,0,0,83783942,240,76,0,0,0,NaN,0,NaN,0
Ghana,2020-01-22,0,0,31072940,137,57,0,0,0,NaN,0,NaN,0
Greece,2020-01-22,0,0,10423054,81,85,0,0,0,NaN,0,NaN,0
Greenland,2020-01-22,0,0,5677,0,87,0,0,0,NaN,0,NaN,0
Grenada,2020-01-22,0,0,112523,331,35,0,0,0,NaN,0,NaN,0
Guatemala,2020-01-22,0,0,17915568,167,52,0,0,0,NaN,0,NaN,0
Guinea,2020-01-22,0,0,13132795,53,39,0,0,0,NaN,0,NaN,0
Guinea-Bissau,2020-01-22,0,0,1968001,70,45,0,0,0,NaN,0,NaN,0
Guyana,2020-01-22,0,0,786552,4,27,0,0,0,NaN,0,NaN,0
Haiti,2020-01-22,0,0,11402528,414,57,0,0,0,NaN,0,NaN,0
Holy See,2020-01-22,0,0,801,2003,NA,0,0,0,NaN,0,NaN,0
Honduras,2020-01-22,0,0,9904607,89,57,0,0,0,NaN,0,NaN,0
Hungary,2020-01-22,0,0,9660351,107,72,0,0,0,NaN,0,NaN,0
Iceland,2020-01-22,0,0,341243,3,94,0,0,0,NaN,0,NaN,0
India,2020-01-22,0,0,1380004385,464,35,0,0,0,NaN,0,NaN,0
Indonesia,2020-01-22,0,0,273523615,151,56,0,0,0,NaN,0,NaN,0
Iran,2020-01-22,0,0,83992949,52,76,0,0,0,NaN,0,NaN,0
Iraq,2020-01-22,0,0,40222493,93,73,0,0,0,NaN,0,NaN,0
Ireland,2020-01-22,0,0,4937786,72,63,0,0,0,NaN,0,NaN,0
Israel,2020-01-22,0,0,8655535,400,93,0,0,0,NaN,0,NaN,0
Italy,2020-01-22,0,0,60461826,206,69,0,0,0,NaN,0,NaN,0
Jamaica,2020-01-22,0,0,2961167,273,55,0,0,0,NaN,0,NaN,0
Japan,2020-01-22,2,0,126476461,347,92,0,0,2,0,0,0,0
Jordan,2020-01-22,0,0,10203134,115,91,0,0,0,NaN,0,NaN,0
Kazakhstan,2020-01-22,0,0,18776707,7,58,0,0,0,NaN,0,NaN,0
Kenya,2020-01-22,0,0,53771296,94,28,0,0,0,NaN,0,NaN,0
"Korea, South",2020-01-22,1,0,51269185,527,82,0,0,1,0,0,0,0
Kosovo,2020-01-22,0,0,NA,NA,NA,0,0,0,NaN,NA,NaN,0
Kuwait,2020-01-22,0,0,4270571,240,NA,0,0,0,NaN,0,NaN,0
Kyrgyzstan,2020-01-22,0,0,6524195,34,36,0,0,0,NaN,0,NaN,0
Laos,2020-01-22,0,0,7275560,32,36,0,0,0,NaN,0,NaN,0
Latvia,2020-01-22,0,0,1886198,30,69,0,0,0,NaN,0,NaN,0
Lebanon,2020-01-22,0,0,6825445,667,78,0,0,0,NaN,0,NaN,0
Liberia,2020-01-22,0,0,5057681,53,53,0,0,0,NaN,0,NaN,0
Libya,2020-01-22,0,0,6871292,4,78,0,0,0,NaN,0,NaN,0
Liechtenstein,2020-01-22,0,0,38128,238,15,0,0,0,NaN,0,NaN,0
Lithuania,2020-01-22,0,0,2722289,43,71,0,0,0,NaN,0,NaN,0
Luxembourg,2020-01-22,0,0,625978,242,88,0,0,0,NaN,0,NaN,0
Madagascar,2020-01-22,0,0,27691018,48,39,0,0,0,NaN,0,NaN,0
Malawi,2020-01-22,0,0,19129952,203,18,0,0,0,NaN,0,NaN,0
Malaysia,2020-01-22,0,0,32365999,99,78,0,0,0,NaN,0,NaN,0
Maldives,2020-01-22,0,0,540544,1802,35,0,0,0,NaN,0,NaN,0
Mali,2020-01-22,0,0,20250833,17,44,0,0,0,NaN,0,NaN,0
Malta,2020-01-22,0,0,441543,138,93,0,0,0,NaN,0,NaN,0
Mauritania,2020-01-22,0,0,4649658,5,57,0,0,0,NaN,0,NaN,0
Mauritius,2020-01-22,0,0,1271768,626,41,0,0,0,NaN,0,NaN,0
Mexico,2020-01-22,0,0,128932753,66,84,0,0,0,NaN,0,NaN,0
Moldova,2020-01-22,0,0,4033963,123,43,0,0,0,NaN,0,NaN,0
Monaco,2020-01-22,0,0,39242,26337,NA,0,0,0,NaN,0,NaN,0
Mongolia,2020-01-22,0,0,3278290,2,67,0,0,0,NaN,0,NaN,0
Montenegro,2020-01-22,0,0,628066,47,68,0,0,0,NaN,0,NaN,0
Morocco,2020-01-22,0,0,36910560,83,64,0,0,0,NaN,0,NaN,0
Mozambique,2020-01-22,0,0,31255435,40,38,0,0,0,NaN,0,NaN,0
MS Zaandam,2020-01-22,0,0,NA,NA,NA,0,0,0,NaN,NA,NaN,0
Namibia,2020-01-22,0,0,2540905,3,55,0,0,0,NaN,0,NaN,0
Nepal,2020-01-22,0,0,29136808,203,21,0,0,0,NaN,0,NaN,0
Netherlands,2020-01-22,0,0,17134872,508,92,0,0,0,NaN,0,NaN,0
New Zealand,2020-01-22,0,0,4822233,18,87,0,0,0,NaN,0,NaN,0
Nicaragua,2020-01-22,0,0,6624554,55,57,0,0,0,NaN,0,NaN,0
Niger,2020-01-22,0,0,24206644,19,17,0,0,0,NaN,0,NaN,0
