Unnamed: 0,Date,Lab confirmed cases,Tested,Rate,InfectionRate
0,2020-03-14,37,573,65,0.06457242582897033
1,2020-03-15,45,697,65,0.06456241032998565
2,2020-03-16,74,976,76,0.07581967213114754
3,2020-03-17,76,905,84,0.08397790055248619
4,2020-03-18,83,1161,71,0.0714900947459087
5,2020-03-19,107,1787,60,0.05987688864017907
6,2020-03-20,103,1114,92,0.09245960502692999
7,2020-03-21,48,567,85,0.08465608465608465
8,2020-03-22,61,484,126,0.12603305785123967
9,2020-03-23,132,1036,127,0.1274131274131274
10,2020-03-24,139,985,141,0.14111675126903553
11,2020-03-25,146,1205,121,0.12116182572614108
12,2020-03-26,122,1064,115,0.11466165413533834
13,2020-03-27,205,1802,114,0.11376248612652608
14,2020-03-28,201,1217,165,0.16516023007395234
15,2020-03-29,128,1178,109,0.10865874363327674
16,2020-03-30,303,2881,105,0.10517181534189518
17,2020-03-31,239,2736,87,0.08735380116959064
18,2020-04-01,233,2561,91,0.09098008590394377
19,2020-04-02,378,5379,70,0.07027328499721137
20,2020-04-03,466,6198,75,0.07518554372378186
21,2020-04-04,312,3370,93,0.09258160237388724
22,2020-04-05,159,1970,81,0.08071065989847716
23,2020-04-06,424,6022,70,0.07040850215875125
24,2020-04-07,347,5864,59,0.05917462482946794
25,2020-04-08,299,5105,59,0.05857002938295788
26,2020-04-09,140,2256,62,0.06205673758865248
27,2020-04-10,142,2007,71,0.07075236671649228
28,2020-04-11,140,1907,73,0.07341373885684321
29,2020-04-12,157,1831,86,0.08574549426542873
30,2020-04-13,154,1815,85,0.08484848484848485
31,2020-04-14,141,3304,43,0.04267554479418886
15,2020-04-15,92,2789,33,0.032986733596271064
