Country;0-9;okt.19;20-29;30-39;40-49;50-59;60-69;70-79;80-99;Total population
Burundi;0,33;0,23;0,17;0,13;0,06;0,04;0,03;0,01;0;11 890 781
Comoros;0,27;0,22;0,17;0,13;0,09;0,06;0,03;0,01;0;869 595
Djibouti;0,2;0,18;0,18;0,16;0,12;0,08;0,04;0,02;0,01;988 002
Eritrea;0,27;0,24;0,16;0,13;0,08;0,05;0,04;0,02;0,01;3 546 427
Ethiopia;0,28;0,23;0,19;0,12;0,08;0,05;0,03;0,02;0;114 963 583
Kenya;0,26;0,24;0,18;0,14;0,09;0,05;0,03;0,01;0;53 771 300
Madagascar;0,28;0,23;0,18;0,12;0,09;0,06;0,03;0,01;0;27 691 019
Malawi;0,3;0,25;0,18;0,12;0,08;0,04;0,03;0,01;0;19 129 955
Mauritius;0,1;0,14;0,15;0,14;0,14;0,14;0,11;0,05;0,02;1 271 767
Mayotte;0,26;0,24;0,16;0,12;0,1;0,06;0,03;0,02;0,01;272 813
Mozambique;0,31;0,24;0,17;0,11;0,07;0,04;0,03;0,01;0;31 255 435
Réunion;0,15;0,16;0,13;0,11;0,13;0,14;0,1;0,05;0,03;895 308
Rwanda;0,27;0,22;0,17;0,14;0,08;0,06;0,03;0,01;0;12 952 209
Seychelles;0,16;0,14;0,14;0,15;0,15;0,13;0,08;0,03;0,01;98 340
Somalia;0,33;0,25;0,17;0,1;0,07;0,05;0,03;0,01;0;15 893 219
South Sudan;0,29;0,23;0,18;0,12;0,08;0,05;0,03;0,02;0;11 193 729
Uganda;0,32;0,25;0,17;0,11;0,07;0,04;0,02;0,01;0;45 741 000
United Republic of Tanzania;0,31;0,24;0,16;0,12;0,08;0,05;0,03;0,01;0;59 734 213
Zambia;0,31;0,25;0,17;0,12;0,08;0,04;0,02;0,01;0;18 383 956
Zimbabwe;0,29;0,24;0,17;0,13;0,08;0,05;0,03;0,01;0;14 862 927
Angola;0,33;0,24;0,16;0,11;0,07;0,04;0,02;0,01;0;32 866 268
Cameroon;0,3;0,23;0,17;0,13;0,08;0,05;0,03;0,01;0;26 545 864
Central African Republic;0,3;0,26;0,17;0,1;0,07;0,05;0,03;0,01;0;4 829 764
Chad;0,33;0,25;0,17;0,11;0,07;0,04;0,03;0,01;0;16 425 859
Congo;0,29;0,23;0,16;0,12;0,1;0,06;0,03;0,01;0;5 518 092
Democratic Republic of the Congo;0,33;0,23;0,16;0,11;0,07;0,05;0,03;0,01;0;89 561 404
Equatorial Guinea;0,26;0,19;0,2;0,18;0,08;0,04;0,02;0,01;0;1 402 985
Gabon;0,27;0,19;0,17;0,16;0,1;0,06;0,03;0,02;0;2 225 728
Sao Tome and Principe;0,28;0,25;0,15;0,12;0,09;0,06;0,03;0,01;0;219 161
Botswana;0,23;0,2;0,17;0,16;0,11;0,06;0,04;0,02;0;2 351 625
Eswatini;0,25;0,24;0,18;0,14;0,09;0,04;0,03;0,02;0,01;1 160 164
Lesotho;0,22;0,2;0,18;0,15;0,1;0,07;0,05;0,02;0,01;2 142 252
Namibia;0,26;0,21;0,19;0,14;0,09;0,06;0,03;0,02;0,01;2 540 916
South Africa;0,2;0,18;0,17;0,17;0,12;0,08;0,05;0,02;0,01;59 308 690
